sex,age,mother_job,father_job,reason,guardian,studytime,failures,schoolsup,famsup,paid,activities,internet,freetime,goout,health,absences,G1,G2,G3,FinalResult
M,17,health,other,course,mother,2,1,no,yes,no,no,yes,5,4,3,4,8,9,10,Poor
M,18,at_home,services,course,mother,1,0,no,no,no,no,yes,3,3,3,0,9,10,9,Poor
M,19,other,other,home,other,1,1,no,yes,no,no,yes,4,4,5,4,8,9,10,Poor
F,18,at_home,other,course,mother,2,2,no,yes,no,no,no,3,3,5,2,6,8,8,Poor
F,19,at_home,other,course,mother,1,0,no,yes,no,no,no,4,4,5,0,6,8,7,Poor
F,18,other,other,other,mother,1,1,no,no,no,no,yes,5,5,3,0,8,6,0,Poor
F,17,at_home,other,course,mother,1,0,no,yes,no,no,yes,4,3,5,0,10,11,11,Fair
F,17,other,at_home,course,other,3,0,no,yes,yes,no,no,2,3,3,5,8,7,8,Poor
F,17,teacher,services,home,mother,2,0,yes,yes,no,yes,yes,5,5,5,0,8,8,0,Poor
F,18,services,services,course,mother,2,1,no,yes,no,yes,yes,3,3,4,3,7,6,8,Poor
F,17,health,at_home,course,mother,1,0,no,yes,no,no,no,2,2,5,0,8,10,9,Poor
F,17,at_home,other,course,father,1,0,no,no,no,no,yes,5,1,3,0,7,10,10,Poor
F,18,other,other,course,mother,2,2,no,no,no,yes,no,4,4,5,3,7,8,7,Poor
F,18,services,at_home,reputation,father,2,0,no,no,no,yes,yes,3,5,1,2,12,13,14,Fair
F,17,services,services,course,mother,1,0,no,yes,no,no,yes,4,3,4,0,11,12,13,Fair
F,18,at_home,other,reputation,mother,2,0,no,no,no,no,yes,4,3,4,0,12,13,14,Fair
F,18,teacher,teacher,reputation,mother,2,0,no,no,no,yes,yes,3,5,1,0,18,18,18,Good
M,18,services,other,reputation,mother,1,0,no,yes,no,yes,yes,4,5,5,3,17,17,17,Good
F,17,other,other,course,mother,2,0,no,yes,no,no,yes,3,3,4,0,17,18,18,Good
F,18,at_home,other,course,mother,2,1,no,no,no,yes,no,3,3,4,0,9,0,0,Poor
M,18,at_home,services,home,mother,1,0,no,yes,no,no,no,1,4,1,8,10,11,11,Fair
M,18,at_home,services,other,mother,1,0,no,yes,yes,yes,yes,5,5,1,5,12,13,14,Fair
M,17,other,services,other,father,1,0,no,no,no,no,no,2,3,4,4,12,13,14,Fair
F,18,other,other,course,mother,2,0,no,yes,no,no,yes,3,1,2,4,8,8,10,Poor
F,18,services,services,course,father,3,0,no,no,no,no,yes,4,5,3,0,11,12,13,Fair
F,18,teacher,other,reputation,mother,2,0,no,no,no,yes,yes,3,1,5,0,5,0,0,Poor
F,18,at_home,services,course,mother,2,1,no,no,no,no,no,4,2,2,2,9,10,10,Poor
F,19,at_home,services,other,father,1,1,no,no,no,no,no,5,5,2,0,5,0,0,Poor
F,17,teacher,other,course,father,4,0,no,no,no,no,yes,2,3,5,0,18,18,18,Good
F,17,services,other,reputation,mother,2,0,no,no,no,yes,yes,3,3,2,5,11,11,12,Fair
F,18,at_home,services,course,mother,2,0,no,no,no,no,no,2,3,3,2,8,10,11,Poor
F,18,at_home,at_home,course,father,2,0,no,yes,no,no,no,1,1,4,0,11,11,12,Fair
F,19,at_home,at_home,course,other,2,3,no,yes,no,yes,no,5,4,1,0,8,0,0,Poor
F,18,services,other,home,mother,3,0,no,no,no,no,yes,2,1,4,5,14,14,15,Fair
M,17,services,other,home,mother,2,1,no,yes,yes,yes,yes,5,5,2,4,10,11,11,Fair
F,18,services,services,course,father,2,0,no,yes,no,no,no,3,4,5,0,10,10,10,Fair
F,17,teacher,services,other,father,2,0,no,yes,yes,yes,yes,3,3,5,2,12,12,12,Fair
F,17,services,other,reputation,mother,2,0,no,no,no,no,no,2,3,5,0,15,14,15,Fair
M,18,other,services,home,father,1,0,no,no,no,no,yes,3,2,3,2,14,13,14,Fair
F,18,at_home,services,course,father,3,0,no,no,no,no,yes,3,2,4,0,19,17,18,Good
F,18,at_home,other,course,mother,2,0,no,no,no,no,no,3,4,5,0,16,15,15,Good
F,18,services,services,other,mother,2,0,no,yes,no,no,yes,3,2,3,6,13,12,13,Fair
F,17,at_home,at_home,course,mother,2,0,no,yes,no,yes,yes,3,4,1,4,15,14,15,Fair
F,17,other,services,course,father,2,0,no,no,no,no,no,2,2,3,0,13,13,13,Fair
M,18,at_home,other,course,mother,2,0,no,yes,yes,no,no,3,4,3,0,8,10,9,Poor
M,18,teacher,services,other,mother,3,0,no,no,no,no,yes,2,2,5,0,15,16,16,Good
F,17,other,services,reputation,mother,1,1,no,yes,no,no,yes,2,1,1,0,8,8,9,Poor
F,18,at_home,services,course,father,1,0,no,yes,no,no,yes,2,3,4,0,10,10,10,Fair
F,18,other,teacher,other,father,2,0,no,yes,no,no,yes,2,2,5,0,7,5,0,Poor
M,18,at_home,services,other,father,1,0,no,yes,no,yes,yes,3,3,3,3,9,10,10,Poor
F,17,other,at_home,home,mother,3,0,no,no,no,yes,no,4,3,3,8,10,11,12,Fair
F,17,other,other,course,mother,1,0,no,no,no,yes,yes,5,5,1,4,7,8,9,Poor
F,18,other,other,reputation,mother,3,0,no,no,no,no,yes,4,4,1,0,15,17,17,Good
F,18,other,other,home,mother,3,0,no,no,no,no,yes,3,2,4,4,10,11,12,Fair
F,19,at_home,other,course,other,2,1,no,yes,no,no,yes,3,3,3,4,7,8,9,Poor
F,18,teacher,services,course,mother,2,0,no,no,no,yes,yes,4,3,2,1,13,14,14,Fair
F,18,other,other,home,mother,2,0,no,no,no,no,yes,1,3,1,1,16,16,16,Good
F,17,at_home,other,reputation,mother,2,0,no,yes,no,yes,yes,5,4,1,10,8,9,9,Poor
M,18,teacher,teacher,home,father,2,0,no,no,no,yes,yes,2,4,2,4,17,18,19,Good
M,18,other,other,other,mother,1,0,no,no,no,yes,yes,4,3,5,0,7,7,0,Poor
M,17,other,services,home,father,2,0,no,no,no,yes,yes,4,3,3,4,14,15,16,Good
M,19,other,services,other,mother,1,1,no,no,no,no,no,3,2,5,0,5,8,0,Poor
M,18,other,other,home,father,1,1,no,no,yes,no,no,4,3,3,0,7,7,0,Poor
F,18,at_home,other,other,mother,3,0,no,no,no,no,no,3,3,4,0,14,17,15,Good
F,17,teacher,other,other,mother,2,0,no,no,no,no,yes,5,4,1,0,6,9,11,Poor
F,18,teacher,at_home,reputation,mother,1,0,no,yes,no,yes,yes,4,3,5,4,7,9,10,Poor
F,19,services,other,course,mother,3,1,no,no,no,yes,yes,4,2,5,4,10,11,10,Fair
F,18,teacher,services,course,mother,2,0,no,yes,no,no,yes,3,4,1,4,15,15,16,Good
F,18,other,other,course,mother,2,0,no,no,no,yes,no,1,1,5,6,11,12,9,Fair
M,17,services,services,course,mother,1,0,no,no,no,no,yes,4,5,2,6,10,10,10,Fair
M,18,services,other,course,mother,1,0,no,no,no,no,yes,4,1,5,4,10,11,11,Fair
